,action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0.0,0,1,0,1,0,0,0,0,0,1
2,0,0,2,0,2,2,2,2,1,0,0,0,2,2,1.0,0,2,0,0,0,0,0,0,0,2
3,0,0,3,0,3,3,3,3,2,0,0,0,3,3,0.0,0,3,0,0,0,0,0,0,0,3
4,1,1,4,0,1,4,1,4,2,1,0,0,4,4,1.0,0,4,1,2,0,0,0,0,0,4
5,0,0,5,0,4,5,4,5,3,2,0,0,5,5,0.0,0,1,0,1,0,0,0,0,0,5
6,2,2,6,0,1,4,1,4,4,2,0,0,3,4,1.0,0,4,1,2,0,0,0,0,0,6
7,0,0,7,0,5,6,5,6,4,2,0,0,6,6,,0,4,1,2,0,0,0,0,0,7
8,0,0,8,0,6,7,6,7,2,2,0,0,7,7,1.0,0,1,2,1,0,0,0,0,0,8
9,3,0,9,0,7,8,7,8,5,2,0,0,8,7,0.0,0,4,2,1,0,0,0,0,0,9
10,0,0,10,0,8,9,8,9,6,2,0,0,9,8,0.0,1,2,3,3,0,0,0,0,0,10
11,0,0,11,1,9,10,9,10,7,0,0,0,10,9,1.0,0,3,0,0,0,0,1,1,1,11
12,3,0,12,1,10,11,10,11,1,0,0,0,11,7,1.0,0,1,2,1,0,0,1,1,1,12
13,0,0,13,1,11,9,11,9,8,0,0,0,12,10,0.0,0,1,0,1,0,0,1,1,1,13
14,0,0,14,1,12,12,12,12,6,0,0,0,13,11,0.0,0,4,2,2,0,0,1,1,1,14
15,0,0,15,1,13,13,13,13,9,0,0,0,14,12,0.0,0,4,0,0,0,0,1,1,1,15
16,4,2,16,1,1,4,1,4,9,0,0,0,15,4,,0,4,1,2,0,0,1,1,1,16
17,0,0,17,1,14,14,14,14,4,1,0,0,16,8,1.0,1,2,3,3,0,0,1,1,1,17
18,0,0,5,1,15,15,15,15,7,2,0,0,17,2,0.0,0,2,0,0,0,0,1,1,1,18
19,4,2,18,1,1,4,1,4,0,2,0,0,18,4,,0,4,1,2,0,0,1,1,1,19
20,0,0,19,1,16,16,16,16,0,2,0,0,19,5,0.0,0,4,0,1,0,0,1,1,1,20
21,0,0,8,1,9,17,9,17,3,2,0,0,20,0,0.0,0,3,0,0,0,0,1,1,1,21
22,3,0,20,1,10,18,10,18,1,2,0,0,21,13,1.0,0,4,2,1,0,0,1,1,1,22
23,3,0,21,1,17,19,17,19,10,2,0,0,22,0,1.0,0,2,0,0,0,0,1,1,1,23
24,3,0,22,1,18,20,18,20,10,2,0,0,23,14,1.0,0,4,2,2,0,0,1,1,1,24
25,2,2,23,1,1,4,1,4,8,2,0,0,8,4,0.0,0,4,1,2,0,0,1,1,1,25
26,0,0,24,1,19,21,19,21,8,2,0,0,20,12,0.0,0,4,0,0,0,0,1,1,1,26
27,0,0,25,1,20,22,20,22,9,2,0,0,24,15,0.0,1,2,3,3,0,0,1,1,1,27
28,0,0,26,1,21,23,21,23,4,3,0,0,4,16,0.0,0,3,0,0,0,0,1,1,1,28
29,0,0,27,1,22,16,22,16,2,3,0,0,1,17,0.0,0,4,2,1,0,0,1,1,1,29
30,3,0,28,1,11,10,11,10,6,3,0,0,25,7,1.0,0,0,0,1,0,0,1,1,1,30
31,0,0,29,1,23,24,23,24,9,3,0,0,24,18,0.0,0,0,0,1,0,0,1,1,1,31
32,0,0,11,2,24,25,24,25,7,0,0,0,26,9,,0,0,0,0,0,0,2,2,2,32
33,0,0,30,2,25,26,25,26,0,0,0,0,27,12,,0,3,0,0,0,0,2,2,2,33
34,2,2,31,2,26,6,26,6,1,0,0,0,28,19,,0,4,1,2,0,0,2,2,2,34
35,2,2,32,2,27,27,27,27,10,0,0,0,27,19,,0,4,1,2,0,0,2,2,2,35
36,5,2,33,2,11,6,11,6,11,0,0,0,11,4,,0,4,1,2,0,0,2,2,2,36
37,0,0,34,2,28,14,28,14,10,1,0,0,28,2,,0,2,0,0,0,0,2,2,2,37
38,0,0,35,2,29,28,29,28,5,1,0,0,24,12,1.0,0,3,0,0,0,0,2,2,2,38
39,0,0,36,2,30,29,30,29,9,1,0,0,20,20,1.0,1,4,3,3,0,0,2,2,2,39
40,0,0,37,2,31,30,31,30,7,2,0,0,7,0,0.0,0,1,0,0,0,0,2,2,2,40
41,2,2,38,2,11,31,11,31,0,2,0,0,29,4,1.0,0,4,1,2,0,0,2,2,2,41
42,0,0,39,2,32,32,32,32,4,2,0,0,30,12,1.0,0,3,0,0,0,0,2,2,2,42
43,0,0,40,2,27,33,27,33,4,2,0,0,17,11,0.0,0,4,2,2,0,0,2,2,2,43
